symbol;name;sector;industry;weight;
ENPH;Enphase Energy Inc.;Information Technology;Electronic Components;0.053836;
MKC;McCormick & Company Incorporated;Consumer Staples;Packaged Foods & Meats;0.05411;
CLX;Clorox Company;Consumer Staples;Household Products;0.054181;
CHD;Church & Dwight Co. Inc.;Consumer Staples;Household Products;0.054386;
TDY;Teledyne Technologies Incorporated;Industrials;Aerospace & Defense;0.054433;
RCL;Royal Caribbean Group;Consumer Discretionary;Hotels, Resorts & Cruise Lines;0.05444;
MPWR;Monolithic Power Systems Inc.;Information Technology;Semiconductors;0.054474;
CRL;Charles River Laboratories International Inc.;Health Care;Life Sciences Tools & Services;0.054673;
VRSN;VeriSign Inc.;Information Technology;Internet Services & Infrastructure;0.054753;
NTAP;NetApp Inc.;Information Technology;Technology Hardware, Storage & Peripherals;0.054931;
CCL;Carnival Corporation;Consumer Discretionary;Hotels, Resorts & Cruise Lines;0.055062;
STE;STERIS Plc;Health Care;Health Care Equipment;0.055272;
DRI;Darden Restaurants Inc.;Consumer Discretionary;Restaurants;0.055423;
VTR;Ventas Inc.;Real Estate;Health Care REITs;0.055485;
ULTA;Ulta Beauty Inc;Consumer Discretionary;Specialty Stores;0.055531;
ETR;Entergy Corporation;Utilities;Electric Utilities;0.055601;
COO;Cooper Companies Inc.;Health Care;Health Care Supplies;0.05575;
KMX;CarMax Inc.;Consumer Discretionary;Specialty Stores;0.056085;
CERN;Cerner Corporation;Health Care;Health Care Technology;0.056284;
IR;Ingersoll Rand Inc.;Industrials;Industrial Machinery;0.056289;
TRMB;Trimble Inc.;Information Technology;Electronic Equipment & Instruments;0.056456;
RF;Regions Financial Corporation;Financials;Regional Banks;0.056582;
HAL;Halliburton Company;Energy;Oil & Gas Equipment & Services;0.056875;
CFG;Citizens Financial Group Inc.;Financials;Regional Banks;0.056923;
BKR;Baker Hughes Company Class A;Energy;Oil & Gas Equipment & Services;0.056955;
AEE;Ameren Corporation;Utilities;Multi-Utilities;0.057043;
EIX;Edison International;Utilities;Electric Utilities;0.057349;
ESS;Essex Property Trust Inc.;Real Estate;Residential REITs;0.057424;
IP;International Paper Company;Materials;Paper Packaging;0.057617;
WAT;Waters Corporation;Health Care;Health Care Distributors;0.058151;
FLT;FLEETCOR Technologies Inc.;Information Technology;Data Processing & Outsourced Services;0.058455;
KEY;KeyCorp;Financials;Regional Banks;0.058895;
MLM;Martin Marietta Materials Inc.;Materials;Construction Materials;0.058906;
PPL;PPL Corporation;Utilities;Electric Utilities;0.058996;
VFC;V.F. Corporation;Consumer Discretionary;Apparel, Accessories & Luxury Goods;0.059197;
MAA;Mid-America Apartment Communities Inc.;Real Estate;Residential REITs;0.059274;
DTE;DTE Energy Company;Utilities;Multi-Utilities;0.05981;
XYL;Xylem Inc.;Industrials;Industrial Machinery;0.059858;
CTLT;Catalent Inc;Health Care;Pharmaceuticals;0.060163;
VMC;Vulcan Materials Company;Materials;Construction Materials;0.060932;
EXR;Extra Space Storage Inc.;Real Estate;Specialized REITs;0.060939;
DLTR;Dollar Tree Inc.;Consumer Discretionary;General Merchandise Stores;0.061146;
TSCO;Tractor Supply Company;Consumer Discretionary;Specialty Stores;0.061279;
NDAQ;Nasdaq Inc.;Financials;Financial Exchanges & Data;0.061534;
DOV;Dover Corporation;Industrials;Industrial Machinery;0.061749;
TSN;Tyson Foods Inc. Class A;Consumer Staples;Packaged Foods & Meats;0.062633;
NTRS;Northern Trust Corporation;Financials;Asset Management & Custody Banks;0.062716;
HES;Hess Corporation;Energy;Integrated Oil & Gas;0.062811;
GRMN;Garmin Ltd.;Consumer Discretionary;Consumer Electronics;0.064224;
HBAN;Huntington Bancshares Incorporated;Financials;Regional Banks;0.064245;
BBY;Best Buy Co. Inc.;Consumer Discretionary;Computer & Electronics Retail;0.064852;
VIAC;ViacomCBS Inc. Class B;Communication Services;Movies & Entertainment;0.065033;
PAYC;Paycom Software Inc.;Information Technology;Application Software;0.065204;
CZR;Caesars Entertainment Inc;Consumer Discretionary;Casinos & Gaming;0.065318;
EXPE;Expedia Group Inc.;Consumer Discretionary;Internet & Direct Marketing Retail;0.065396;
KHC;Kraft Heinz Company;Consumer Staples;Packaged Foods & Meats;0.065646;
ETSY;Etsy Inc.;Consumer Discretionary;Internet & Direct Marketing Retail;0.067003;
HIG;Hartford Financial Services Group Inc.;Financials;Property & Casualty Insurance;0.067806;
LYB;LyondellBasell Industries NV;Materials;Specialty Chemicals;0.06799;
ED;Consolidated Edison Inc.;Utilities;Electric Utilities;0.068342;
LEN;Lennar Corporation Class A;Consumer Discretionary;Homebuilding;0.068449;
DVN;Devon Energy Corporation;Energy;Oil & Gas Exploration & Production;0.068459;
HSY;Hershey Company;Consumer Staples;Packaged Foods & Meats;0.068837;
KSU;Kansas City Southern;Industrials;Railroads;0.068883;
CDW;CDW Corp.;Information Technology;Technology Distributors;0.06892;
FTV;Fortive Corp.;Industrials;Industrial Machinery;0.068975;
RSG;Republic Services Inc.;Industrials;Environmental & Facilities Services;0.069201;
GNRC;Generac Holdings Inc.;Industrials;Electrical Components & Equipment;0.069241;
URI;United Rentals Inc.;Industrials;Trading Companies & Distributors;0.069324;
O;Realty Income Corporation;Real Estate;Retail REITs;0.069983;
ALB;Albemarle Corporation;Materials;Specialty Chemicals;0.070549;
IT;Gartner Inc.;Information Technology;IT Consulting & Other Services;0.070962;
SWKS;Skyworks Solutions Inc.;Information Technology;Semiconductors;0.071834;
ARE;Alexandria Real Estate Equities Inc.;Real Estate;Office REITs;0.07211;
LH;Laboratory Corporation of America Holdings;Health Care;Health Care Services;0.072669;
WY;Weyerhaeuser Company;Real Estate;Specialized REITs;0.072669;
OKE;ONEOK Inc.;Energy;Oil & Gas Storage & Transportation;0.072807;
DHI;D.R. Horton Inc.;Consumer Discretionary;Homebuilding;0.07336;
ZBRA;Zebra Technologies Corporation Class A;Information Technology;Electronic Equipment & Instruments;0.073449;
KR;Kroger Co.;Consumer Staples;Food Retail;0.073559;
ODFL;Old Dominion Freight Line Inc.;Industrials;Trucking;0.073961;
WEC;WEC Energy Group Inc;Utilities;Electric Utilities;0.076069;
EQR;Equity Residential;Real Estate;Residential REITs;0.076896;
GLW;Corning Inc;Information Technology;Electronic Components;0.076945;
PCAR;PACCAR Inc;Industrials;Construction Machinery & Heavy Trucks;0.077051;
SYF;Synchrony Financial;Financials;Consumer Finance;0.077521;
SWK;Stanley Black & Decker Inc.;Industrials;Industrial Machinery;0.07758;
DAL;Delta Air Lines Inc.;Industrials;Airlines;0.07766;
AME;AMETEK Inc.;Industrials;Electrical Components & Equipment;0.078652;
CPRT;Copart Inc.;Industrials;Diversified Support Services;0.078738;
OXY;Occidental Petroleum Corporation;Energy;Oil & Gas Exploration & Production;0.07886;
NUE;Nucor Corporation;Materials;Steel;0.078926;
ES;Eversource Energy;Utilities;Multi-Utilities;0.078953;
FAST;Fastenal Company;Industrials;Building Products;0.080613;
ANSS;ANSYS Inc.;Information Technology;Application Software;0.080654;
BLL;Ball Corporation;Materials;Metal & Glass Containers;0.081065;
KEYS;Keysight Technologies Inc;Information Technology;Electronic Equipment & Instruments;0.081342;
VLO;Valero Energy Corporation;Energy;Oil & Gas Refining & Marketing;0.082406;
FITB;Fifth Third Bancorp;Financials;Regional Banks;0.082688;
ZBH;Zimmer Biomet Holdings Inc.;Health Care;Health Care Equipment;0.08297;
WST;West Pharmaceutical Services Inc.;Health Care;Health Care Supplies;0.083001;
