symbol,name,sector,weight
KO,Coca-Cola Company,Consumer Staples,0.559438
KR,Kroger Co.,Consumer Staples,0.073559
KSU,Kansas City Southern,Industrials,0.068883
L,Loews Corporation,Financials,0.031192
LDOS,Leidos Holdings Inc.,Industrials,0.035111
LEG,Leggett & Platt Incorporated,Consumer Discretionary,0.016517
LEN,Lennar Corporation Class A,Consumer Discretionary,0.068449
LH,Laboratory Corporation of America Holdings,Health Care,0.072669
LHX,L3Harris Technologies Inc,Industrials,0.121203
LIN,Linde plc,Materials,0.417256
LKQ,LKQ Corporation,Consumer Discretionary,0.037626
LLY,Eli Lilly and Company,Health Care,0.497414
LMT,Lockheed Martin Corporation,Industrials,0.232649
LNC,Lincoln National Corporation,Financials,0.034282
LNT,Alliant Energy Corp,Utilities,0.038526
LOW,Lowe's Companies Inc.,Consumer Discretionary,0.391733
LRCX,Lam Research Corporation,Information Technology,0.214893
LUMN,Lumen Technologies Inc.,Communication Services,0.034845
LUV,Southwest Airlines Co.,Industrials,0.08743
LVS,Las Vegas Sands Corp.,Consumer Discretionary,0.033614
LW,Lamb Weston Holdings Inc.,Consumer Staples,0.024583
LYB,LyondellBasell Industries NV,Materials,0.06799
LYV,Live Nation Entertainment Inc.,Communication Services,0.035685
MA,Mastercard Incorporated Class A,Information Technology,0.811111
MAA,Mid-America Apartment Communities Inc.,Real Estate,0.059274
MAR,Marriott International Inc. Class A,Consumer Discretionary,0.11535
MAS,Masco Corporation,Industrials,0.037601
MCD,McDonald's Corporation,Consumer Discretionary,0.496812
MCHP,Microchip Technology Incorporated,Information Technology,0.110043
MCK,McKesson Corporation,Health Care,0.08348
MCO,Moody's Corporation,Financials,0.15631
MDLZ,Mondelez International Inc. Class A,Consumer Staples,0.22309
MDT,Medtronic Plc,Health Care,0.458654
MET,MetLife Inc.,Financials,0.126994
MGM,MGM Resorts International,Consumer Discretionary,0.048956
MHK,Mohawk Industries Inc.,Consumer Discretionary,0.027043
MKC,McCormick & Company Incorporated,Consumer Staples,0.05411
MKTX,MarketAxess Holdings Inc.,Financials,0.044783
MLM,Martin Marietta Materials Inc.,Materials,0.058906
MMC,Marsh & McLennan Companies Inc.,Financials,0.21241
MMM,3M Company,Industrials,0.27923
MNST,Monster Beverage Corporation,Consumer Staples,0.09048
MO,Altria Group Inc,Consumer Staples,0.230979
MOS,Mosaic Company,Materials,0.036321
MPC,Marathon Petroleum Corporation,Energy,0.109508
MPWR,Monolithic Power Systems Inc.,Information Technology,0.054474
MRK,Merck & Co. Inc.,Health Care,0.560381
MRNA,Moderna Inc.,Health Care,0.316401
MRO,Marathon Oil Corporation,Energy,0.03318
MS,Morgan Stanley,Financials,0.392822
MSCI,MSCI Inc. Class A,Financials,0.134685
MSFT,Microsoft Corporation,Information Technology,5.886271
MSI,Motorola Solutions Inc.,Information Technology,0.106704
MTB,M&T Bank Corporation,Financials,0.05369
MTCH,Match Group Inc.,Communication Services,0.116016
MTD,Mettler-Toledo International Inc.,Health Care,0.087096
MU,Micron Technology Inc.,Information Technology,0.215312
NCLH,Norwegian Cruise Line Holdings Ltd.,Consumer Discretionary,0.027585
NDAQ,Nasdaq Inc.,Financials,0.061534
NEE,NextEra Energy Inc.,Utilities,0.422996
NEM,Newmont Corporation,Materials,0.116701
NFLX,Netflix Inc.,Communication Services,0.76222
NI,NiSource Inc,Utilities,0.025764
NKE,NIKE Inc. Class B,Consumer Discretionary,0.518225
NLOK,NortonLifeLock Inc.,Information Technology,0.039813
NLSN,Nielsen Holdings Plc,Industrials,0.018989
NOC,Northrop Grumman Corporation,Industrials,0.151023
NOW,ServiceNow Inc.,Information Technology,0.340431
NRG,NRG Energy Inc.,Utilities,0.027346
NSC,Norfolk Southern Corporation,Industrials,0.17095
NTAP,NetApp Inc.,Information Technology,0.054931
NTRS,Northern Trust Corporation,Financials,0.062716
NUE,Nucor Corporation,Materials,0.078926
NVDA,NVIDIA Corporation,Information Technology,1.382604
NVR,NVR Inc.,Consumer Discretionary,0.04378
NWL,Newell Brands Inc,Consumer Discretionary,0.022931
NWS,News Corporation Class B,Communication Services,0.007911
NWSA,News Corporation Class A,Communication Services,0.025417
NXPI,NXP Semiconductors NV,Information Technology,0.137834
